mX,mY,mZ,gX,gY,gZ,aX,aY,aZ,label
41.85,4.36,-47.75,-0.79,0.00,0.49,-0.04,-0.03,1.00,idle
42.24,4.37,-46.98,-0.67,0.00,0.49,-0.04,-0.03,1.00,idle
42.48,4.50,-47.19,-0.61,0.12,0.49,-0.04,-0.03,1.00,idle
42.05,4.65,-47.22,-0.67,0.00,0.43,-0.04,-0.03,1.00,idle
41.48,4.54,-46.39,-0.67,0.06,0.37,-0.04,-0.03,1.00,idle
41.87,4.41,-47.61,-0.55,-0.12,0.31,-0.04,-0.03,1.00,idle
42.27,4.47,-46.77,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
42.16,4.58,-47.12,-0.73,-0.18,0.55,-0.04,-0.03,1.00,idle
42.27,4.26,-47.31,-0.85,-0.06,0.43,-0.04,-0.03,1.00,idle
42.60,4.48,-45.98,-0.61,0.00,0.37,-0.04,-0.03,1.00,idle
42.32,4.71,-46.68,-0.67,0.00,0.37,-0.04,-0.03,1.00,idle
41.71,4.72,-47.12,-0.61,0.00,0.31,-0.04,-0.03,1.00,idle
42.31,4.75,-46.48,-0.79,-0.06,0.31,-0.04,-0.03,1.00,idle
42.00,4.48,-46.67,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
42.58,5.02,-47.53,-0.73,0.00,0.31,-0.04,-0.03,1.00,idle
42.19,4.63,-48.50,-0.67,-0.06,0.31,-0.04,-0.04,1.00,idle
41.87,4.94,-46.96,-0.92,0.06,0.43,-0.04,-0.03,1.00,idle
42.11,4.86,-47.36,-0.73,-0.06,0.24,-0.04,-0.03,1.00,idle
42.47,4.14,-46.75,-0.92,-0.12,0.31,-0.04,-0.03,1.00,idle
42.27,4.60,-47.97,-0.85,-0.06,0.43,-0.04,-0.03,1.00,idle
41.77,4.22,-47.25,-0.73,0.00,0.37,-0.04,-0.03,1.00,idle
42.21,4.85,-47.06,-0.61,0.12,0.43,-0.04,-0.03,1.00,idle
42.24,4.72,-46.04,-0.73,0.06,0.37,-0.04,-0.03,1.00,idle
42.71,4.81,-47.83,-0.55,0.00,0.37,-0.04,-0.03,1.00,idle
42.03,4.63,-46.39,-0.85,-0.12,0.43,-0.04,-0.03,1.00,idle
42.04,4.27,-47.57,-0.61,0.06,0.24,-0.04,-0.03,1.00,idle
42.00,4.11,-46.26,-0.79,0.00,0.61,-0.04,-0.03,1.00,idle
41.74,4.36,-46.58,-0.73,-0.06,0.55,-0.04,-0.03,1.00,idle
41.67,4.17,-47.39,-0.79,0.06,0.43,-0.04,-0.03,1.00,idle
42.07,5.27,-47.39,-0.61,0.00,0.49,-0.04,-0.03,1.00,idle
41.80,4.72,-48.05,-0.73,0.00,0.31,-0.04,-0.03,1.00,idle
41.80,4.44,-47.52,-0.55,0.06,0.49,-0.04,-0.03,1.00,idle
42.21,4.48,-48.25,-0.79,-0.06,0.49,-0.04,-0.03,1.00,idle
41.63,4.94,-47.30,-0.79,0.06,0.43,-0.04,-0.03,1.00,idle
42.24,4.91,-46.89,-0.67,-0.12,0.24,-0.04,-0.03,1.00,idle
42.07,4.83,-47.40,-0.79,-0.06,0.49,-0.04,-0.03,1.00,idle
41.77,4.42,-47.71,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
42.27,4.50,-47.29,-0.67,0.00,0.43,-0.04,-0.03,1.00,idle
42.48,4.86,-46.96,-0.67,0.06,0.49,-0.04,-0.03,1.00,idle
41.85,4.97,-47.69,-0.73,-0.06,0.24,-0.04,-0.03,1.00,idle
42.41,4.54,-47.62,-0.61,0.12,0.43,-0.04,-0.03,1.00,idle
41.64,4.32,-47.14,-0.55,0.06,0.55,-0.04,-0.03,1.00,idle
42.04,4.87,-47.97,-0.61,0.00,0.43,-0.04,-0.03,1.00,idle
41.50,4.53,-48.33,-0.55,0.06,0.49,-0.04,-0.03,1.00,idle
41.71,5.20,-47.23,-0.73,0.06,0.43,-0.04,-0.03,1.00,idle
42.20,5.26,-48.44,-0.85,0.06,0.61,-0.04,-0.03,1.00,idle
42.05,4.63,-47.66,-0.67,0.06,0.49,-0.04,-0.03,1.00,idle
41.81,4.65,-46.73,-0.92,-0.12,0.43,-0.04,-0.03,1.00,idle
41.37,5.20,-47.35,-0.61,-0.06,0.31,-0.04,-0.03,1.00,idle
41.78,4.74,-46.44,-0.79,0.06,0.55,-0.04,-0.03,1.00,idle
42.43,4.64,-47.61,-0.55,0.06,0.49,-0.04,-0.03,1.00,idle
41.78,4.76,-46.86,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
42.29,5.04,-46.24,-0.79,0.00,0.43,-0.04,-0.04,1.00,idle
41.75,4.72,-47.03,-0.79,0.06,0.49,-0.04,-0.03,1.00,idle
42.02,4.57,-46.84,-0.79,0.00,0.49,-0.04,-0.03,1.00,idle
41.99,4.86,-46.64,-0.49,-0.06,0.43,-0.04,-0.03,1.00,idle
41.28,4.87,-47.16,-0.79,0.06,0.37,-0.04,-0.03,1.00,idle
42.04,4.83,-47.07,-0.73,0.00,0.37,-0.04,-0.04,1.00,idle
42.46,4.68,-46.98,-0.67,0.06,0.43,-0.04,-0.03,1.00,idle
42.02,4.15,-46.08,-0.79,0.00,0.49,-0.04,-0.03,1.00,idle
41.48,4.50,-46.64,-0.73,0.00,0.55,-0.04,-0.03,1.00,idle
42.07,4.65,-47.12,-0.61,0.00,0.55,-0.04,-0.03,1.00,idle
41.24,4.85,-47.29,-0.67,-15.50,0.43,-0.04,-0.03,1.00,idle
42.14,4.90,-48.29,-0.67,-0.06,0.43,-0.04,-0.03,1.00,idle
41.55,3.98,-47.39,-0.79,0.00,0.43,-0.04,-0.03,1.00,idle
41.16,4.28,-47.79,-0.67,0.00,0.61,-0.04,-0.03,1.00,idle
42.07,4.37,-46.92,-0.67,0.00,0.37,-0.04,-0.03,1.00,idle
42.65,4.25,-47.22,-0.73,0.00,0.31,-0.04,-0.03,1.00,idle
41.98,5.15,-46.97,-0.67,0.00,0.37,-0.04,-0.03,1.00,idle
41.70,4.83,-47.25,-0.79,0.00,0.43,-0.04,-0.03,1.00,idle
42.15,4.87,-46.73,-0.79,0.00,0.61,-0.04,-0.03,1.00,idle
42.16,4.31,-46.85,-0.67,0.12,0.43,-0.04,-0.03,1.00,idle
42.70,4.59,-48.24,-0.85,0.00,0.43,-0.04,-0.03,1.00,idle
41.98,5.53,-46.95,-0.61,-0.06,0.67,-0.04,-0.03,1.00,idle
42.36,4.91,-48.17,-0.67,0.00,0.55,-0.04,-0.03,1.00,idle
42.20,4.85,-46.80,-0.73,-0.06,0.37,-0.04,-0.03,1.00,idle
42.16,4.87,-48.84,-0.92,-0.06,0.49,-0.04,-0.03,1.00,idle
42.15,5.43,-47.80,-0.79,0.06,0.49,-0.04,-0.03,1.00,idle
42.02,4.37,-47.84,-0.61,0.06,0.37,-0.04,-0.03,1.00,idle
42.14,4.65,-47.11,-0.61,-0.12,0.43,-0.04,-0.03,1.00,idle
42.19,4.87,-48.06,-0.55,0.00,0.49,-0.04,-0.03,1.00,idle
42.02,5.63,-46.92,-0.79,0.06,0.49,-0.04,-0.03,1.00,idle
42.18,4.79,-46.78,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
42.41,4.19,-47.24,-0.92,0.00,0.37,-0.04,-0.03,1.00,idle
41.74,4.82,-46.86,-0.85,-0.06,0.37,-0.04,-0.03,1.00,idle
41.99,4.96,-46.09,-0.73,-0.12,0.31,-0.04,-0.03,1.00,idle
41.67,4.55,-47.34,-0.61,-0.12,0.37,-0.04,-0.03,1.00,idle
41.60,4.66,-47.58,-0.61,-0.06,0.43,-0.04,-0.03,1.00,idle
41.87,4.75,-45.69,-0.67,0.00,0.43,-0.04,-0.03,1.00,idle
42.27,4.44,-47.83,-0.61,0.06,0.43,-0.04,-0.03,1.00,idle
41.76,5.03,-46.92,-0.67,0.00,0.37,-0.04,-0.03,1.00,idle
42.25,4.57,-47.22,-0.61,0.12,0.49,-0.03,-0.03,1.00,idle
42.05,5.35,-47.61,-0.55,0.00,0.37,-0.04,-0.03,1.00,idle
41.86,4.80,-47.90,-0.85,-0.06,0.43,-0.04,-0.03,1.00,idle
41.46,4.87,-48.12,-0.67,0.12,0.37,-0.04,-0.03,1.00,idle
42.15,4.79,-46.84,-0.73,-0.06,0.49,-0.04,-0.03,1.00,idle
41.91,4.79,-46.66,-0.55,-0.06,0.37,-0.04,-0.03,1.00,idle
41.83,4.26,-47.63,-0.73,0.06,0.43,-0.04,-0.03,1.00,idle
41.63,5.13,-47.29,-0.67,0.12,0.49,-0.04,-0.03,1.00,idle
42.26,4.79,-47.09,-0.85,0.00,0.49,-0.04,-0.03,1.00,idle
42.10,5.03,-46.40,-0.55,-0.06,0.55,-0.04,-0.03,1.00,idle
42.68,5.14,-47.77,-0.61,-0.06,0.49,-0.04,-0.03,1.00,idle
42.25,4.68,-46.30,-0.61,0.06,0.43,-0.04,-0.03,1.00,idle
42.40,4.05,-46.96,-0.67,-0.18,0.49,-0.04,-0.03,1.00,idle
42.00,4.41,-48.02,-0.61,-0.06,0.43,-0.04,-0.03,1.00,idle
41.59,4.76,-47.16,-0.67,-0.06,0.61,-0.04,-0.03,1.00,idle
41.56,4.30,-47.44,-0.61,0.00,0.49,-0.04,-0.03,1.00,idle
41.75,4.48,-46.70,-0.73,0.00,0.49,-0.04,-0.03,1.00,idle
41.61,4.72,-47.79,-0.73,-0.12,0.43,-0.04,-0.03,1.00,idle
42.14,4.19,-46.78,-0.55,0.06,0.61,-0.04,-0.03,1.00,idle
41.69,4.24,-46.96,-0.67,0.06,0.43,-0.04,-0.03,1.00,idle
41.55,4.63,-48.03,-0.61,-0.06,0.49,-0.03,-0.04,1.00,idle
41.59,4.49,-47.27,-0.67,-0.12,0.43,-0.04,-0.03,1.00,idle
42.27,4.42,-47.31,-0.73,-0.12,0.49,-0.04,-0.03,1.00,idle
41.78,4.57,-46.61,-0.49,0.00,0.61,-0.04,-0.03,1.00,idle
41.54,4.57,-47.31,-0.67,0.00,0.55,-0.04,-0.03,1.00,idle
42.19,4.35,-46.84,-0.73,-0.06,0.61,-0.04,-0.03,1.00,idle
41.70,5.09,-46.14,-0.67,0.00,0.43,-0.04,-0.03,1.00,idle
41.67,4.98,-46.18,-0.79,0.12,0.55,-0.04,-0.03,1.00,idle
41.74,5.03,-48.11,-0.67,0.00,0.49,-0.04,-0.03,1.00,idle
41.99,5.02,-47.30,-0.61,0.00,0.49,-0.04,-0.03,1.00,idle
41.74,5.02,-46.30,-0.73,0.06,0.61,-0.04,-0.03,1.00,idle
41.26,5.20,-46.78,-0.67,-0.06,0.43,-0.04,-0.03,1.00,idle
42.05,4.61,-46.88,-0.61,0.06,0.31,-0.04,-0.03,1.00,idle
41.89,4.69,-46.77,-0.67,-0.12,0.43,-0.04,-0.03,1.00,idle
41.98,4.85,-46.84,-0.73,0.06,0.37,-0.04,-0.03,1.00,idle
41.50,4.31,-47.61,-0.79,0.06,0.67,-0.04,-0.03,1.00,idle
41.55,4.49,-47.89,-0.73,0.12,0.55,-0.04,-0.03,1.00,idle
41.67,4.37,-46.88,-0.85,-0.06,0.49,-0.04,-0.03,1.00,idle
42.25,4.58,-46.70,-0.67,-0.12,0.55,-0.04,-0.03,1.00,idle
42.14,4.81,-47.44,-0.79,0.06,0.49,-0.04,-0.03,1.00,idle
42.05,4.44,-47.96,-0.55,0.00,0.55,-0.04,-0.03,1.00,idle
41.93,4.47,-47.91,-0.73,0.00,0.61,-0.04,-0.03,1.00,idle
42.36,4.27,-46.98,-0.79,-0.06,0.55,-0.04,-0.03,1.00,idle
42.33,4.64,-47.53,-0.73,-0.06,0.43,-0.04,-0.03,1.00,idle
42.41,4.52,-47.05,-0.67,-0.12,0.37,-0.04,-0.03,1.00,idle
41.82,4.77,-46.29,-0.55,0.06,0.43,-0.04,-0.03,1.00,idle
41.83,4.58,-47.58,-0.61,0.00,0.49,-0.04,-0.03,1.00,idle
41.76,4.57,-48.25,-0.73,-0.06,0.43,-0.04,-0.03,1.00,idle
41.78,4.80,-47.56,-0.79,0.06,0.43,-0.04,-0.03,1.00,idle
42.20,4.68,-47.08,-0.73,-0.06,0.61,-0.04,-0.03,1.00,idle
41.83,4.35,-46.94,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
41.99,4.81,-47.03,-0.73,-0.18,0.37,-0.04,-0.03,1.00,idle
42.15,4.54,-47.62,-0.73,0.00,0.55,-0.04,-0.03,1.00,idle
42.38,5.21,-47.68,-0.79,0.00,0.37,-0.04,-0.03,1.00,idle
41.94,4.72,-48.03,-0.67,0.12,0.49,-0.04,-0.03,1.00,idle
41.98,4.98,-47.40,-0.61,0.12,0.43,-0.04,-0.03,1.00,idle
42.35,4.79,-46.79,-0.79,0.00,0.49,-0.04,-0.03,1.00,idle
42.25,4.82,-47.83,-0.67,-0.06,0.49,-0.04,-0.03,1.00,idle
42.30,4.91,-48.08,-0.85,0.00,0.37,-0.04,-0.03,1.00,idle
41.91,4.36,-46.80,-0.61,0.06,0.37,-0.04,-0.03,1.00,idle
42.04,4.93,-47.75,-0.73,0.06,0.37,-0.04,-0.03,1.00,idle
41.85,5.09,-46.03,-0.79,0.12,0.43,-0.04,-0.03,1.00,idle
42.16,4.76,-47.03,-0.67,0.06,0.37,-0.04,-0.03,1.00,idle
42.32,4.27,-47.09,-0.92,0.06,0.37,-0.04,-0.03,1.00,idle
42.69,4.88,-46.51,-0.73,-0.06,0.37,-0.04,-0.03,1.00,idle
42.30,4.57,-47.16,-0.92,0.00,0.43,-0.04,-0.03,1.00,idle
42.49,4.59,-46.53,-0.79,0.12,0.37,-0.04,-0.03,1.00,idle
42.21,4.38,-46.95,-0.67,-0.06,0.43,-0.04,-0.03,1.00,idle
42.35,4.57,-46.15,-0.67,-0.12,0.43,-0.04,-0.03,1.00,idle
42.15,4.57,-47.31,-0.67,-0.18,0.43,-0.04,-0.03,1.00,idle
41.66,4.91,-46.81,-0.67,0.06,0.43,-0.04,-0.03,1.00,idle
42.29,4.48,-47.57,-0.55,0.00,0.49,-0.04,-0.03,1.00,idle
42.47,4.69,-47.20,-0.98,-0.06,0.55,-0.04,-0.03,1.00,idle
42.36,4.90,-46.53,-0.79,-0.12,0.37,-0.04,-0.03,1.00,idle
42.21,4.81,-46.24,-0.85,0.06,0.49,-0.04,-0.03,1.00,idle
42.25,4.54,-47.78,-0.67,-0.12,0.31,-0.04,-0.03,1.00,idle
42.63,4.17,-47.33,-0.55,-0.12,0.31,-0.04,-0.03,1.00,idle
42.16,4.24,-45.52,-0.61,0.06,0.43,-0.04,-0.03,1.00,idle
42.05,4.44,-46.46,-0.67,0.00,0.49,-0.04,-0.03,1.00,idle
42.30,5.13,-46.91,-0.79,-0.06,0.43,-0.04,-0.03,1.00,idle
41.78,4.65,-47.63,-0.61,-0.06,0.43,-0.04,-0.03,1.00,idle
42.48,4.99,-47.35,-0.79,0.00,0.31,-0.04,-0.03,1.00,idle
42.25,5.05,-46.25,-0.79,0.06,0.43,-0.04,-0.03,1.00,idle
42.10,5.26,-46.62,-0.92,-0.12,0.49,-0.04,-0.03,1.00,idle
42.19,4.41,-47.00,-0.67,-0.06,0.43,-0.04,-0.03,1.00,idle
42.91,4.80,-46.98,-0.67,0.06,0.55,-0.04,-0.03,1.00,idle
42.14,4.96,-47.02,-0.79,0.00,0.49,-0.04,-0.03,1.00,idle
41.80,5.00,-47.19,-0.49,-0.12,0.43,-0.04,-0.03,1.00,idle
42.29,4.76,-47.53,-0.79,0.00,0.49,-0.04,-0.03,1.00,idle
42.31,4.86,-47.02,-0.79,0.06,0.43,-0.04,-0.03,1.00,idle
42.00,4.80,-47.50,-0.79,-0.06,0.37,-0.04,-0.03,1.00,idle
42.13,4.79,-46.48,-0.79,0.00,0.31,-0.04,-0.03,1.00,idle
42.36,4.74,-46.33,-0.79,0.00,0.37,-0.04,-0.03,1.00,idle
41.89,5.30,-46.17,-0.61,0.06,0.55,-0.04,-0.03,1.00,idle
42.77,5.04,-46.59,-0.79,0.12,0.43,-0.04,-0.03,1.00,idle
42.30,5.00,-47.64,-0.73,0.06,0.55,-0.04,-0.03,1.00,idle
42.18,4.48,-47.09,-0.67,0.00,0.55,-0.04,-0.03,1.00,idle
42.41,4.71,-47.49,-0.61,0.06,0.49,-0.04,-0.03,1.00,idle
41.97,4.54,-47.77,-0.73,-0.06,0.55,-0.04,-0.03,1.00,idle
42.46,4.41,-47.11,-0.67,-0.18,0.55,-0.04,-0.03,1.00,idle
42.20,4.68,-46.22,-0.61,0.00,0.43,-0.04,-0.03,1.00,idle
42.32,4.66,-45.73,-0.79,-0.06,0.55,-0.04,-0.03,1.00,idle
42.53,5.41,-47.27,-0.92,0.00,0.55,-0.04,-0.03,1.00,idle
42.96,4.87,-46.63,-0.55,0.00,0.55,-0.04,-0.03,1.00,idle
42.46,5.05,-47.74,-0.67,0.00,0.43,-0.04,-0.03,1.00,idle
42.20,5.09,-48.44,-0.61,-0.06,0.43,-0.04,-0.04,1.00,idle
42.44,4.81,-46.80,-0.67,0.00,0.43,-0.04,-0.03,1.00,idle
42.60,5.08,-46.84,-0.85,0.12,0.43,-0.04,-0.03,1.00,idle
42.26,4.66,-46.70,-0.67,0.12,0.49,-0.04,-0.03,1.00,idle
42.27,4.74,-46.42,-0.49,0.18,0.49,-0.04,-0.03,1.00,idle
42.09,4.72,-46.88,-0.79,-0.12,0.37,-0.04,-0.03,1.00,idle
42.25,4.90,-47.35,-0.55,0.00,0.37,-0.04,-0.03,1.00,idle
42.49,4.59,-47.17,-0.61,-0.12,0.55,-0.04,-0.03,1.00,idle
42.15,5.04,-47.69,-0.61,0.12,0.49,-0.04,-0.03,1.00,idle
41.54,4.57,-47.05,-0.67,0.06,0.61,-0.04,-0.03,1.00,idle
42.21,4.66,-47.97,-0.67,0.00,0.37,-0.04,-0.03,1.00,idle
42.68,4.65,-47.55,-0.73,-0.06,0.43,-0.04,-0.03,1.00,idle
42.25,4.48,-47.74,-0.73,0.00,0.37,-0.04,-0.03,1.00,idle
42.16,4.70,-46.48,-0.67,0.12,0.31,-0.04,-0.03,1.00,idle
42.63,5.05,-47.25,-0.85,0.00,0.49,-0.04,-0.03,1.00,idle
42.18,4.63,-46.24,-0.73,0.06,0.24,-0.04,-0.03,1.00,idle
42.77,4.39,-46.72,-0.79,0.00,0.37,-0.04,-0.03,1.00,idle
42.15,4.61,-46.73,-0.85,0.00,0.31,-0.04,-0.03,1.00,idle
42.88,4.94,-48.44,-0.73,-0.18,0.37,-0.04,-0.03,1.00,idle
43.09,4.71,-46.68,-0.67,0.06,0.18,-0.04,-0.03,1.00,idle
42.02,5.14,-46.18,-0.79,-0.06,0.43,-0.04,-0.03,1.00,idle
41.99,4.99,-46.97,-0.55,0.06,0.43,-0.04,-0.03,1.00,idle
42.00,4.96,-47.13,-0.92,-0.06,0.61,-0.04,-0.03,1.00,idle
42.41,5.04,-46.57,-0.73,0.00,0.37,-0.04,-0.03,1.00,idle
42.42,5.07,-47.02,-0.92,-0.06,0.43,-0.04,-0.03,1.00,idle
42.05,4.27,-47.39,-0.73,-0.12,0.43,-0.04,-0.03,1.00,idle
41.88,4.47,-47.30,-0.79,0.00,0.55,-0.04,-0.03,1.00,idle
42.54,4.55,-48.24,-0.73,-0.12,0.49,-0.04,-0.03,1.00,idle
41.70,4.48,-46.23,-0.73,0.00,0.49,-0.04,-0.03,1.00,idle
42.21,4.83,-46.62,-0.67,0.06,0.37,-0.04,-0.03,1.00,idle
42.42,4.75,-46.61,-0.79,0.00,0.24,-0.04,-0.03,1.00,idle
43.08,4.41,-46.73,-0.61,0.12,0.49,-0.04,-0.03,1.00,idle
42.18,4.90,-47.61,-0.67,0.06,0.37,-0.04,-0.03,1.00,idle
42.63,4.80,-47.60,-0.67,0.00,0.43,-0.04,-0.03,1.00,idle
42.37,5.38,-47.55,-0.73,0.06,0.55,-0.04,-0.03,1.00,idle
42.24,4.79,-46.40,-0.92,0.12,0.37,-0.04,-0.03,1.00,idle
