mX,mY,mZ,gX,gY,gZ,aX,aY,aZ,label
42.24,4.87,-48.08,-0.85,-0.06,0.37,-0.04,-0.03,1.00,idle
42.22,4.69,-47.13,-0.79,0.00,0.31,-0.04,-0.03,1.00,idle
42.15,5.37,-47.66,-0.73,0.00,0.37,-0.04,-0.03,1.00,idle
42.26,4.74,-46.81,-0.73,0.18,0.49,-0.04,-0.03,1.00,idle
42.13,5.07,-46.30,-0.85,0.00,0.55,-0.04,-0.03,1.00,idle
42.43,5.03,-46.64,-0.67,0.00,0.49,-0.04,-0.03,1.00,idle
42.27,5.33,-46.72,-0.55,-0.06,0.31,-0.04,-0.03,1.00,idle
42.68,4.77,-46.58,-0.85,0.12,0.49,-0.04,-0.03,1.00,idle
42.71,4.86,-47.25,-0.79,-0.06,0.43,-0.04,-0.03,1.00,idle
42.59,4.72,-47.18,-0.67,0.00,0.55,-0.04,-0.03,1.00,idle
42.65,4.93,-46.95,-0.79,0.12,0.37,-0.04,-0.03,1.00,idle
42.14,5.09,-47.34,-0.73,-0.06,0.55,-0.04,-0.03,1.00,idle
42.42,4.50,-46.46,-0.67,0.00,0.49,-0.04,-0.03,1.00,idle
42.30,4.61,-46.84,-0.61,0.00,0.43,-0.04,-0.03,1.00,idle
42.24,4.96,-48.07,-0.79,0.00,0.49,-0.04,-0.03,1.00,idle
42.26,5.32,-46.22,-0.79,0.00,0.43,-0.04,-0.03,1.00,idle
42.30,4.96,-46.18,-0.73,-0.06,0.49,-0.04,-0.03,1.00,idle
42.26,5.29,-45.35,-0.73,-0.06,0.43,-0.04,-0.03,1.00,idle
42.61,5.11,-47.71,-0.79,0.00,0.55,-0.04,-0.03,1.00,idle
41.75,4.60,-45.78,-0.85,0.06,0.49,-0.04,-0.03,1.00,idle
41.75,4.75,-46.64,-0.73,0.00,0.31,-0.04,-0.03,1.00,idle
42.30,5.11,-47.12,-0.67,0.06,0.37,-0.04,-0.03,1.00,idle
42.76,5.31,-46.96,-0.73,0.00,0.55,-0.04,-0.03,1.00,idle
42.53,5.04,-45.85,-0.67,0.12,0.43,-0.04,-0.03,1.00,idle
42.55,5.07,-46.36,-0.61,0.06,0.49,-0.04,-0.03,1.00,idle
42.40,4.53,-47.67,-0.67,0.00,0.61,-0.04,-0.03,1.00,idle
42.33,5.03,-47.23,-0.61,0.00,0.24,-0.04,-0.03,1.00,idle
41.85,4.86,-46.36,-0.55,-0.06,0.37,-0.04,-0.03,1.00,idle
42.54,4.86,-47.78,-0.67,0.00,0.55,-0.04,-0.03,1.00,idle
42.60,4.81,-46.57,-0.79,0.00,0.61,-0.04,-0.03,1.00,idle
42.54,4.36,-45.98,-0.73,0.00,0.55,-0.04,-0.03,1.00,idle
42.76,4.70,-48.47,-0.85,-0.06,0.31,-0.04,-0.03,1.00,idle
42.37,4.85,-47.57,-0.73,-0.06,0.43,-0.04,-0.03,1.00,idle
42.58,4.75,-46.15,-0.67,-0.18,0.43,-0.04,-0.03,1.00,idle
42.50,4.60,-47.69,-0.79,-0.06,0.55,-0.04,-0.03,1.00,idle
42.19,4.91,-47.27,-0.67,0.00,0.55,-0.04,-0.03,1.00,idle
42.76,5.37,-47.39,-0.67,0.12,0.43,-0.04,-0.03,1.00,idle
42.44,4.65,-47.46,-0.73,-0.12,0.49,-0.04,-0.03,1.00,idle
42.38,5.18,-47.05,-0.55,-0.06,0.49,-0.04,-0.03,1.00,idle
42.49,5.11,-46.66,-0.79,0.12,0.37,-0.04,-0.03,1.00,idle
42.64,4.90,-46.52,-0.61,0.06,0.43,-0.04,-0.03,1.00,idle
42.25,4.52,-46.56,-0.79,-0.12,0.55,-0.04,-0.03,1.00,idle
42.66,5.16,-46.07,-0.61,0.18,0.43,-0.04,-0.03,1.00,idle
42.36,4.49,-47.16,-0.73,0.12,0.49,-0.04,-0.03,1.00,idle
42.59,4.98,-47.39,-0.55,0.00,0.37,-0.04,-0.03,1.00,idle
42.05,4.59,-46.50,-0.67,-0.06,0.55,-0.04,-0.03,1.00,idle
42.64,4.70,-47.23,-0.67,-0.06,0.43,-0.04,-0.03,1.00,idle
42.85,4.63,-46.75,-0.61,0.06,0.37,-0.04,-0.03,1.00,idle
42.54,4.61,-46.15,-0.67,0.06,0.49,-0.04,-0.03,1.00,idle
42.68,4.72,-47.56,-0.79,0.00,0.61,-0.04,-0.03,1.00,idle
42.69,4.72,-46.57,-0.79,0.06,0.55,-0.04,-0.03,1.00,idle
42.64,4.92,-47.44,-0.67,-0.06,0.43,-0.04,-0.03,1.00,idle
42.35,4.52,-47.07,-0.73,0.00,0.55,-0.04,-0.03,1.00,idle
42.53,5.41,-47.13,-0.67,0.06,0.49,-0.04,-0.03,1.00,idle
42.03,4.72,-48.14,-0.67,0.00,0.31,-0.04,-0.03,1.00,idle
42.49,4.88,-47.86,-0.55,0.00,0.43,-0.04,-0.03,1.00,idle
42.76,4.70,-47.19,-0.73,0.12,0.55,-0.04,-0.03,1.00,idle
42.75,4.70,-47.28,-0.67,0.06,0.43,-0.04,-0.03,1.00,idle
42.15,4.38,-46.90,-0.79,0.06,0.37,-0.04,-0.03,1.00,idle
42.16,4.25,-47.00,-0.67,-0.12,0.43,-0.04,-0.03,1.00,idle
42.55,5.24,-46.79,-0.49,0.00,0.55,-0.04,-0.03,1.00,idle
42.49,4.61,-47.25,-0.67,-0.06,0.49,-0.04,-0.03,1.00,idle
42.27,4.92,-47.22,-0.67,0.06,0.43,-0.04,-0.03,1.00,idle
42.38,4.88,-47.02,-0.85,0.00,0.55,-0.04,-0.03,1.00,idle
42.20,5.22,-46.30,-0.67,0.06,0.49,-0.04,-0.03,1.00,idle
42.40,5.08,-46.62,-0.55,-0.06,0.49,-0.04,-0.03,1.00,idle
41.70,4.96,-46.91,-0.55,0.00,0.37,-0.04,-0.03,1.00,idle
42.40,5.31,-47.12,-0.73,-0.06,0.37,-0.04,-0.03,1.00,idle
41.98,4.39,-46.89,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
42.64,5.15,-47.03,-0.79,0.06,0.49,-0.04,-0.03,1.00,idle
42.70,4.59,-47.84,-0.98,-0.06,0.43,-0.04,-0.03,1.00,idle
42.36,4.97,-46.58,-0.85,0.00,0.61,-0.04,-0.03,1.00,idle
42.90,4.68,-47.18,-0.73,0.06,0.43,-0.04,-0.03,1.00,idle
42.54,5.09,-47.09,-0.79,0.06,0.43,-0.04,-0.03,1.00,idle
42.57,4.44,-46.83,-0.67,0.00,0.43,-0.04,-0.03,1.00,idle
42.52,4.49,-46.66,-0.73,0.12,0.43,-0.04,-0.03,1.00,idle
42.92,5.05,-46.66,-0.79,-0.06,0.49,-0.04,-0.03,1.00,idle
42.63,4.86,-48.29,-0.73,-0.06,0.31,-0.04,-0.03,1.00,idle
42.33,4.92,-46.40,-0.73,0.06,0.37,-0.04,-0.03,1.00,idle
42.35,4.77,-47.90,-0.73,0.06,0.31,-0.03,-0.03,1.00,idle
42.72,4.43,-48.14,-0.61,0.06,0.37,-0.04,-0.03,1.00,idle
42.27,4.49,-47.49,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
42.35,5.11,-46.86,-0.73,0.06,0.37,-0.04,-0.03,1.00,idle
42.30,4.92,-46.17,-0.55,0.12,0.43,-0.04,-0.03,1.00,idle
43.23,5.22,-47.81,-0.79,0.00,0.43,-0.04,-0.03,1.00,idle
42.14,5.21,-47.42,-0.73,-0.18,0.55,-0.04,-0.03,1.00,idle
42.69,4.71,-47.42,-0.55,0.00,0.31,-0.04,-0.03,1.00,idle
43.07,5.59,-47.11,-0.55,0.00,0.37,-0.04,-0.03,1.00,idle
42.59,4.86,-47.68,-0.79,0.00,0.43,-0.04,-0.03,1.00,idle
42.58,4.87,-46.67,-0.92,0.06,0.43,-0.04,-0.03,1.00,idle
42.02,4.57,-47.27,-0.73,0.06,0.43,-0.04,-0.03,1.00,idle
42.60,4.69,-47.42,-0.85,0.06,0.37,-0.04,-0.03,1.00,idle
42.47,4.71,-45.58,-0.79,-0.12,0.49,-0.04,-0.03,1.00,idle
42.54,5.37,-46.25,-0.73,-0.12,0.37,-0.04,-0.03,1.00,idle
42.38,4.37,-47.23,-0.73,0.00,0.49,-0.04,-0.03,1.00,idle
42.29,5.00,-46.17,-0.92,-0.12,0.43,-0.04,-0.03,1.00,idle
42.59,5.13,-47.00,-0.79,-0.12,0.43,-0.04,-0.03,1.00,idle
42.35,5.02,-45.84,-0.67,0.00,0.31,-0.04,-0.03,1.00,idle
42.53,5.04,-46.35,-0.79,-0.12,0.49,-0.04,-0.03,1.00,idle
41.63,5.40,-45.68,-0.61,0.06,0.37,-0.04,-0.03,1.00,idle
42.61,5.09,-46.96,-0.61,0.06,0.31,-0.04,-0.03,1.00,idle
42.20,5.57,-46.70,-0.85,0.06,0.49,-0.04,-0.03,1.00,idle
42.79,5.00,-45.94,-0.67,0.00,0.43,-0.04,-0.03,1.00,idle
42.33,5.09,-47.13,-0.92,0.06,0.67,-0.04,-0.03,1.00,idle
42.10,5.41,-45.25,-0.73,0.06,0.37,-0.04,-0.03,1.00,idle
42.57,5.02,-47.01,-0.85,-0.06,0.43,-0.04,-0.03,1.00,idle
42.27,5.10,-45.89,-0.55,0.00,0.55,-0.04,-0.03,1.00,idle
41.92,4.44,-47.46,-0.73,0.00,0.49,-0.04,-0.03,1.00,idle
42.18,5.16,-47.30,-0.67,0.00,0.37,-0.04,-0.03,1.00,idle
42.83,5.64,-46.14,-0.73,0.00,0.24,-0.04,-0.03,1.00,idle
42.86,5.65,-47.45,-0.85,0.00,0.49,-0.04,-0.03,1.00,idle
42.38,5.19,-46.92,-0.55,0.06,0.49,-0.04,-0.03,1.00,idle
42.65,5.37,-46.62,-0.61,-0.06,0.49,-0.04,-0.03,1.00,idle
42.48,5.53,-46.84,-0.67,-0.06,0.43,-0.04,-0.03,1.00,idle
42.57,5.66,-46.35,-0.79,-0.06,0.37,-0.04,-0.03,1.00,idle
42.81,5.24,-47.09,-0.67,0.06,0.49,-0.04,-0.03,1.00,idle
42.15,4.57,-46.47,-0.98,0.00,0.43,-0.04,-0.03,1.00,idle
42.64,5.09,-46.84,-0.85,-0.06,0.61,-0.04,-0.03,1.00,idle
42.10,4.68,-46.01,-0.67,-0.06,0.37,-0.04,-0.03,1.00,idle
41.96,4.70,-47.55,-0.67,-0.06,0.49,-0.04,-0.03,1.00,idle
42.50,5.14,-47.55,-0.85,-0.06,0.55,-0.04,-0.03,1.00,idle
42.76,4.82,-47.73,-0.61,-0.06,0.49,-0.04,-0.03,1.00,idle
42.77,4.28,-45.61,-0.85,0.00,0.55,-0.04,-0.03,1.00,idle
42.40,4.21,-46.80,-0.67,-15.63,0.49,-0.04,-0.03,1.00,idle
42.66,5.47,-47.06,-0.73,-0.12,0.49,-0.04,-0.03,1.00,idle
42.13,4.58,-47.05,-0.61,0.12,0.49,-0.04,-0.03,1.00,idle
42.53,5.08,-46.58,-0.67,0.00,0.37,-0.04,-0.03,1.00,idle
42.99,4.69,-46.35,-0.79,0.06,0.49,-0.04,-0.03,1.00,idle
42.50,4.42,-47.34,-0.73,-0.06,0.43,-0.04,-0.03,1.00,idle
42.75,4.96,-47.12,-0.61,0.00,0.55,-0.04,-0.03,1.00,idle
42.65,5.16,-47.78,-0.85,-0.06,0.49,-0.04,-0.03,1.00,idle
41.99,5.13,-46.70,-0.79,0.00,0.43,-0.04,-0.03,1.00,idle
42.41,4.98,-47.38,-0.67,0.06,0.49,-0.04,-0.03,1.00,idle
42.64,5.07,-46.53,-0.61,0.06,0.43,-0.04,-0.03,1.00,idle
41.86,4.80,-46.48,-0.67,0.00,0.55,-0.04,-0.03,1.00,idle
41.94,4.28,-46.77,-0.67,0.00,0.55,-0.04,-0.03,1.00,idle
41.89,5.21,-46.95,-0.73,-0.12,0.37,-0.04,-0.03,1.00,idle
42.36,5.41,-46.63,-0.73,0.12,0.43,-0.04,-0.03,1.00,idle
42.74,4.38,-45.84,-0.61,0.06,0.49,-0.04,-0.03,1.00,idle
42.33,4.97,-46.98,-0.73,0.06,0.43,-0.04,-0.03,1.00,idle
42.52,5.25,-46.62,-0.55,0.00,0.43,-0.04,-0.03,1.00,idle
43.12,4.88,-46.83,-0.55,0.00,0.37,-0.04,-0.03,1.00,idle
42.60,5.24,-46.53,-0.73,0.00,0.49,-0.04,-0.03,1.00,idle
42.31,5.19,-47.30,-0.67,-0.06,0.49,-0.04,-0.03,1.00,idle
42.09,5.29,-47.90,-0.79,0.06,0.43,-0.04,-0.03,1.00,idle
42.37,5.05,-46.18,-0.67,-0.06,0.55,-0.04,-0.03,1.00,idle
42.41,5.48,-46.30,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
41.86,5.04,-47.01,-0.61,0.06,0.24,-0.04,-0.03,1.00,idle
41.81,4.59,-47.72,-0.61,0.00,0.61,-0.03,-0.03,1.00,idle
42.50,4.61,-47.18,-0.73,-0.06,0.67,-0.04,-0.03,1.00,idle
42.50,4.96,-46.35,-0.73,0.00,0.37,-0.04,-0.03,1.00,idle
42.07,5.32,-46.67,-0.79,0.00,0.49,-0.04,-0.03,1.00,idle
42.00,5.21,-46.59,-0.73,0.06,0.43,-0.04,-0.03,1.00,idle
42.16,4.91,-46.80,-0.79,-0.12,0.37,-0.04,-0.03,1.00,idle
42.14,4.99,-47.01,-0.67,0.18,0.43,-0.04,-0.03,1.00,idle
41.91,5.66,-46.52,-0.55,0.12,0.43,-0.04,-0.03,1.00,idle
41.86,5.52,-47.27,-0.79,0.00,0.49,-0.04,-0.03,1.00,idle
41.98,4.88,-47.41,-0.61,0.06,0.55,-0.04,-0.03,1.00,idle
41.33,5.04,-47.85,-0.98,-0.12,0.55,-0.04,-0.03,1.00,idle
41.66,4.69,-47.12,-0.79,0.06,0.55,-0.04,-0.03,1.00,idle
42.27,5.40,-47.09,-0.67,0.00,0.49,-0.04,-0.03,1.00,idle
41.67,4.32,-46.92,-0.67,-0.12,0.49,-0.04,-0.03,1.00,idle
42.20,5.13,-47.91,-0.67,-0.06,0.49,-0.04,-0.03,1.00,idle
42.68,4.94,-46.35,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
42.35,4.52,-46.84,-0.79,0.06,0.43,-0.04,-0.03,1.00,idle
42.30,5.10,-46.02,-0.73,0.06,0.55,-0.04,-0.03,1.00,idle
41.94,4.88,-47.12,-0.67,-0.06,0.55,-0.04,-0.03,1.00,idle
42.20,4.53,-46.37,-0.79,0.00,0.37,-0.04,-0.03,1.00,idle
42.26,4.87,-45.57,-0.67,0.06,0.49,-0.04,-0.03,1.00,idle
42.11,4.72,-46.79,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
42.43,4.83,-47.49,-0.55,0.00,0.43,-0.04,-0.03,1.00,idle
41.97,5.03,-45.63,-0.73,0.06,0.49,-0.04,-0.03,1.00,idle
42.26,4.85,-47.63,-0.79,-0.06,0.43,-0.04,-0.03,1.00,idle
42.31,5.32,-46.97,-0.85,0.06,0.37,-0.04,-0.03,1.00,idle
42.68,5.08,-46.64,-0.67,-0.06,0.43,-0.04,-0.03,1.00,idle
42.59,4.96,-47.85,-0.67,-0.06,0.49,-0.04,-0.03,1.00,idle
42.18,5.08,-47.46,-0.73,0.00,0.55,-0.04,-0.03,1.00,idle
42.29,4.64,-46.52,-0.73,-0.12,0.43,-0.04,-0.03,1.00,idle
42.33,5.41,-46.80,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
42.32,4.91,-46.73,-0.55,0.06,0.37,-0.04,-0.03,1.00,idle
42.05,4.76,-46.06,-0.67,0.06,0.61,-0.04,-0.03,1.00,idle
42.85,4.90,-46.20,-0.73,-0.06,0.37,-0.04,-0.03,1.00,idle
42.05,4.65,-47.84,-0.73,0.00,0.55,-0.04,-0.03,1.00,idle
42.15,4.54,-47.06,-0.73,0.06,0.43,-0.04,-0.03,1.00,idle
42.83,4.60,-46.30,-0.79,-0.06,0.55,-0.04,-0.03,1.00,idle
42.66,4.91,-46.96,-0.73,-0.06,0.55,-0.04,-0.03,1.00,idle
42.71,5.05,-46.37,-0.85,0.00,0.24,-0.04,-0.03,1.00,idle
41.60,4.98,-47.30,-0.79,-0.06,0.31,-0.04,-0.03,1.00,idle
41.94,4.74,-46.79,-0.49,0.00,0.24,-0.04,-0.03,1.00,idle
42.37,5.20,-46.42,-0.92,0.06,0.49,-0.04,-0.03,1.00,idle
42.57,4.42,-46.55,-0.85,0.06,0.49,-0.04,-0.03,1.00,idle
42.93,4.93,-46.36,-0.67,0.00,0.37,-0.04,-0.03,1.00,idle
42.49,4.37,-47.12,-0.73,0.06,0.43,-0.04,-0.03,1.00,idle
42.30,4.81,-47.02,-0.73,0.06,0.55,-0.04,-0.03,1.00,idle
42.15,4.97,-47.79,-0.55,-0.06,0.55,-0.04,-0.03,1.00,idle
42.18,5.14,-46.86,-0.79,-0.12,0.18,-0.04,-0.03,1.00,idle
42.27,4.58,-46.95,-0.61,0.00,0.43,-0.04,-0.03,1.00,idle
42.32,4.92,-46.84,-0.79,0.06,0.43,-0.04,-0.03,1.00,idle
42.82,5.22,-47.05,-0.79,-0.06,0.37,-0.04,-0.03,1.00,idle
42.96,4.71,-46.92,-0.67,0.06,0.49,-0.04,-0.03,1.00,idle
42.29,5.37,-47.50,-0.79,-0.06,0.49,-0.04,-0.03,1.00,idle
42.82,5.10,-47.64,-0.49,-0.12,0.43,-0.04,-0.03,1.00,idle
42.37,5.64,-48.94,-0.85,-0.06,0.55,-0.04,-0.03,1.00,idle
42.14,5.35,-47.18,-0.67,0.06,0.37,-0.04,-0.03,1.00,idle
42.38,5.07,-47.25,-0.79,0.12,0.55,-0.04,-0.03,1.00,idle
42.49,4.64,-46.91,-0.73,0.06,0.31,-0.04,-0.03,1.00,idle
42.15,4.44,-47.34,-0.98,-0.12,0.24,-0.04,-0.03,1.00,idle
42.80,4.60,-46.50,-0.85,-0.12,0.49,-0.04,-0.03,1.00,idle
41.98,5.65,-47.96,-0.79,-0.06,0.31,-0.04,-0.03,1.00,idle
42.32,4.74,-47.17,-0.79,0.06,0.37,-0.04,-0.03,1.00,idle
42.85,5.25,-48.17,-0.85,-0.18,0.55,-0.04,-0.03,1.00,idle
42.41,5.14,-47.58,-0.85,-0.06,0.31,-0.04,-0.03,1.00,idle
42.38,4.91,-47.09,-0.73,0.06,0.49,-0.04,-0.03,1.00,idle
42.48,5.36,-47.12,-0.49,-0.06,0.49,-0.04,-0.03,1.00,idle
42.18,4.94,-47.02,-0.67,-0.06,0.24,-0.04,-0.03,1.00,idle
42.14,5.26,-45.97,-0.73,0.12,0.55,-0.04,-0.03,1.00,idle
42.70,4.90,-46.70,-0.79,0.06,0.31,-0.04,-0.03,1.00,idle
42.20,4.50,-47.69,-0.79,0.06,0.43,-0.04,-0.03,1.00,idle
42.99,4.69,-47.06,-0.67,0.00,0.49,-0.04,-0.03,1.00,idle
42.54,5.19,-46.18,-0.67,0.06,0.55,-0.04,-0.03,1.00,idle
42.76,5.04,-46.17,-0.67,0.06,0.37,-0.04,-0.03,1.00,idle
42.53,4.80,-46.74,-0.49,-0.06,0.49,-0.04,-0.03,1.00,idle
42.27,5.05,-46.36,-0.79,0.00,0.37,-0.04,-0.03,1.00,idle
42.79,5.43,-47.11,-0.61,0.06,0.49,-0.04,-0.03,1.00,idle
43.23,4.92,-45.97,-0.61,0.00,0.37,-0.04,-0.03,1.00,idle
42.75,4.58,-47.22,-0.73,-0.12,0.55,-0.04,-0.03,1.00,idle
42.54,4.97,-46.53,-0.85,0.00,0.49,-0.04,-0.03,1.00,idle
42.70,4.83,-48.35,-0.67,-0.06,0.31,-0.04,-0.03,1.00,idle
42.55,4.83,-46.90,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
42.50,5.09,-47.74,-0.67,0.12,0.37,-0.04,-0.03,1.00,idle
42.29,5.36,-46.36,-0.79,0.00,0.55,-0.04,-0.03,1.00,idle
42.63,5.05,-46.28,-0.67,0.06,0.55,-0.04,-0.03,1.00,idle
42.22,5.20,-47.17,-0.73,-0.12,0.61,-0.04,-0.03,1.00,idle
