mX,mY,mZ,gX,gY,gZ,aX,aY,aZ,label
42.74,4.77,-46.29,-0.67,-0.24,0.37,-0.04,-0.03,1.00,idle
42.03,4.55,-46.46,-0.85,-0.12,0.49,-0.04,-0.03,1.00,idle
42.26,4.57,-46.73,-0.61,0.06,0.43,-0.04,-0.03,1.00,idle
42.86,4.86,-47.78,-0.73,-0.06,0.55,-0.04,-0.03,1.00,idle
42.82,4.88,-47.88,-0.79,0.00,0.55,-0.04,-0.03,1.00,idle
42.22,5.35,-47.01,-0.67,-0.12,0.55,-0.04,-0.03,1.00,idle
42.61,4.76,-46.85,-0.67,-0.12,0.37,-0.04,-0.03,1.00,idle
42.52,4.97,-46.97,-0.61,0.00,0.37,-0.04,-0.03,1.00,idle
41.69,5.43,-47.47,-0.85,-0.06,0.49,-0.04,-0.03,1.00,idle
42.48,5.21,-47.56,-0.79,-0.06,0.49,-0.04,-0.04,1.00,idle
42.21,4.59,-46.70,-0.73,0.06,0.49,-0.04,-0.03,1.00,idle
42.33,4.59,-47.01,-0.73,0.06,0.43,-0.04,-0.03,1.00,idle
41.63,4.99,-47.97,-0.61,-0.06,0.55,-0.04,-0.03,1.00,idle
42.00,4.46,-48.44,-0.79,0.00,0.37,-0.04,-0.03,1.00,idle
42.77,4.59,-47.80,-0.73,-0.12,0.37,-0.04,-0.03,1.00,idle
42.36,5.19,-48.03,-0.85,-0.18,0.43,-0.04,-0.03,1.00,idle
41.97,4.36,-47.47,-0.79,0.00,0.49,-0.04,-0.03,1.00,idle
42.54,4.91,-48.32,-0.92,0.06,0.43,-0.04,-0.03,1.00,idle
42.70,4.97,-46.94,-0.85,0.06,0.49,-0.04,-0.03,1.00,idle
42.20,4.82,-47.84,-0.79,0.00,0.37,-0.04,-0.03,1.00,idle
42.35,4.49,-46.36,-0.73,-0.06,0.37,-0.04,-0.03,1.00,idle
42.18,4.61,-46.48,-0.79,-0.06,0.37,-0.04,-0.03,1.00,idle
42.44,4.83,-47.90,-0.73,-0.06,0.37,-0.04,-0.03,1.00,idle
42.02,4.90,-47.27,-0.61,0.00,0.43,-0.04,-0.03,1.00,idle
42.54,4.64,-46.57,-0.79,15.56,0.43,-0.04,-0.03,1.00,idle
42.54,4.68,-46.15,-0.79,0.00,0.43,-0.04,-0.03,1.00,idle
42.47,4.61,-47.44,-0.85,0.00,0.31,-0.04,-0.03,1.00,idle
42.15,4.80,-48.11,-0.79,0.00,0.31,-0.04,-0.03,1.00,idle
42.71,4.53,-46.57,-0.67,-0.12,0.31,-0.04,-0.03,1.00,idle
42.80,5.18,-47.75,-0.67,15.50,0.43,-0.04,-0.03,1.00,idle
41.89,4.83,-46.88,-0.85,-0.06,0.43,-0.04,-0.03,1.00,idle
42.21,4.77,-46.73,-0.73,0.06,0.49,-0.04,-0.03,1.00,idle
42.85,4.16,-47.11,-0.61,-0.06,0.49,-0.04,-0.03,1.00,idle
42.54,5.21,-46.37,-0.79,0.00,0.37,-0.04,-0.03,1.00,idle
42.85,5.20,-46.92,-0.55,-0.06,0.49,-0.04,-0.03,1.00,idle
42.35,5.25,-46.73,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
41.91,5.21,-47.90,-0.61,-0.06,0.55,-0.04,-0.03,1.00,idle
42.25,5.07,-47.24,-0.67,-0.06,0.31,-0.04,-0.03,1.00,idle
42.74,4.79,-47.89,-0.67,0.06,0.49,-0.04,-0.03,1.00,idle
42.20,5.27,-48.33,-0.79,0.00,0.43,-0.04,-0.03,1.00,idle
42.63,5.08,-47.50,-0.79,0.00,0.43,-0.04,-0.03,1.00,idle
41.98,5.41,-47.77,-0.61,-0.06,0.43,-0.04,-0.03,1.00,idle
42.40,4.80,-47.56,-0.61,-0.06,0.49,-0.04,-0.03,1.00,idle
42.42,5.26,-46.33,-0.61,0.12,0.43,-0.04,-0.03,1.00,idle
42.03,4.96,-46.62,-0.61,-0.06,0.43,-0.04,-0.03,1.00,idle
42.58,4.99,-47.69,-0.55,-0.06,0.55,-0.04,-0.03,1.00,idle
42.33,4.86,-47.18,-0.67,0.06,0.49,-0.04,-0.03,1.00,idle
42.24,4.35,-46.80,-0.73,0.18,0.55,-0.04,-0.03,1.00,idle
42.85,5.04,-46.34,-0.73,0.06,0.43,-0.04,-0.03,1.00,idle
42.27,4.60,-46.48,-0.55,-0.12,0.49,-0.04,-0.03,1.00,idle
42.21,5.14,-46.51,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
42.30,5.27,-47.01,-0.79,-0.06,0.55,-0.04,-0.03,1.00,idle
42.59,5.09,-47.20,-0.67,0.00,0.43,-0.04,-0.03,1.00,idle
42.41,5.40,-46.42,-0.61,0.06,0.49,-0.04,-0.03,1.00,idle
42.57,4.69,-47.00,-0.85,0.06,0.37,-0.04,-0.03,1.00,idle
42.46,5.09,-46.31,-0.79,0.00,0.49,-0.04,-0.03,1.00,idle
42.79,4.99,-47.02,-0.79,0.00,0.43,-0.04,-0.03,1.00,idle
42.32,5.66,-47.02,-0.67,0.06,0.31,-0.04,-0.03,1.00,idle
41.98,4.96,-46.88,-0.67,0.12,0.49,-0.04,-0.03,1.00,idle
42.74,4.54,-46.96,-0.85,0.00,0.43,-0.04,-0.03,1.00,idle
41.80,5.10,-45.21,-0.61,0.06,0.49,-0.04,-0.03,1.00,idle
42.59,4.94,-46.78,-0.61,0.00,0.43,-0.03,-0.03,1.00,idle
42.54,5.35,-46.68,-0.73,-0.06,0.43,-0.04,-0.03,1.00,idle
42.37,5.66,-47.25,-0.55,-0.06,0.31,-0.04,-0.03,1.00,idle
41.93,5.26,-46.84,-0.67,0.00,0.31,-0.04,-0.03,1.00,idle
42.19,5.40,-46.47,-0.79,0.00,0.49,-0.04,-0.03,1.00,idle
41.94,5.15,-46.84,-0.79,0.06,0.31,-0.04,-0.03,1.00,idle
42.29,5.14,-47.33,-0.73,-0.06,0.43,-0.04,-0.03,1.00,idle
42.15,5.62,-46.50,-0.67,0.00,0.43,-0.04,-0.03,1.00,idle
42.16,5.55,-48.02,-0.92,0.06,0.43,-0.04,-0.03,1.00,idle
41.85,4.85,-47.63,-0.55,0.00,0.31,-0.04,-0.03,1.00,idle
41.43,4.46,-47.17,-0.67,0.06,0.31,-0.04,-0.03,1.00,idle
42.02,4.80,-46.72,-0.73,0.12,0.31,-0.04,-0.03,1.00,idle
42.02,4.31,-47.08,-0.85,0.00,0.49,-0.04,-0.03,1.00,idle
42.07,4.76,-46.00,-0.67,0.12,0.49,-0.04,-0.03,1.00,idle
42.50,5.32,-47.91,-0.92,0.00,0.49,-0.04,-0.03,1.00,idle
41.74,4.85,-47.36,-0.49,0.06,0.31,-0.04,-0.03,1.00,idle
41.94,5.04,-46.09,-0.73,-0.06,0.55,-0.04,-0.03,1.00,idle
42.22,5.10,-46.59,-0.61,0.12,0.24,-0.04,-0.04,1.00,idle
42.47,5.05,-47.44,-0.79,0.06,0.43,-0.04,-0.03,1.00,idle
42.10,5.31,-47.19,-0.61,0.06,0.49,-0.04,-0.03,1.00,idle
42.24,5.25,-46.70,-0.61,0.12,0.55,-0.04,-0.03,1.00,idle
42.85,4.86,-48.49,-0.67,0.06,0.43,-0.04,-0.03,1.00,idle
41.97,4.94,-45.89,-0.79,0.06,0.37,-0.04,-0.03,1.00,idle
42.41,5.65,-46.23,-0.67,0.06,0.55,-0.04,-0.03,1.00,idle
42.65,5.68,-47.68,-0.79,0.00,0.37,-0.04,-0.03,1.00,idle
42.60,5.19,-47.31,-0.67,0.00,0.49,-0.04,-0.03,1.00,idle
42.27,4.87,-46.61,-0.55,-0.06,0.37,-0.04,-0.03,1.00,idle
42.27,5.69,-46.64,-0.67,0.12,0.49,-0.04,-0.03,1.00,idle
41.72,4.94,-46.68,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
42.79,5.27,-47.17,-0.73,0.06,0.43,-0.04,-0.03,1.00,idle
41.87,5.20,-46.35,-0.43,0.06,0.43,-0.04,-0.03,1.00,idle
41.92,4.81,-47.00,-0.61,0.06,0.55,-0.04,-0.03,1.00,idle
42.24,4.80,-46.40,-0.79,-0.06,0.31,-0.04,-0.03,1.00,idle
41.92,5.07,-47.51,-0.73,0.12,0.37,-0.04,-0.03,1.00,idle
42.43,5.08,-46.75,-0.73,0.00,0.31,-0.04,-0.03,1.00,idle
42.16,4.98,-46.69,-0.85,0.06,0.43,-0.03,-0.03,1.00,idle
42.29,4.88,-46.68,-0.61,0.12,0.43,-0.04,-0.03,1.00,idle
42.40,4.98,-47.85,-0.55,0.06,0.43,-0.04,-0.03,1.00,idle
42.36,5.27,-46.63,-0.73,0.06,0.24,-0.04,-0.03,1.00,idle
41.74,5.16,-46.52,-0.85,0.06,0.49,-0.04,-0.03,1.00,idle
42.30,4.20,-47.96,-0.73,-0.06,0.43,-0.04,-0.03,1.00,idle
42.21,4.83,-46.12,-0.67,-0.06,0.31,-0.04,-0.03,1.00,idle
41.61,4.77,-46.42,-0.98,-0.06,0.49,-0.04,-0.03,1.00,idle
42.05,4.93,-47.29,-0.67,-0.12,0.31,-0.04,-0.03,1.00,idle
41.82,5.66,-46.67,-0.61,-0.12,0.49,-0.04,-0.03,1.00,idle
42.32,5.18,-47.30,-0.85,-0.12,0.61,-0.04,-0.03,1.00,idle
41.70,4.96,-46.89,-0.67,0.00,0.49,-0.04,-0.03,1.00,idle
42.47,5.66,-47.57,-0.61,0.00,0.49,-0.04,-0.03,1.00,idle
42.24,5.14,-48.12,-0.79,-0.12,0.43,-0.04,-0.03,1.00,idle
42.26,5.35,-48.19,-0.85,-0.12,0.31,-0.04,-0.03,1.00,idle
42.07,5.11,-46.23,-0.73,-0.12,0.49,-0.04,-0.03,1.00,idle
41.88,5.27,-46.44,-0.85,0.00,0.37,-0.04,-0.03,1.00,idle
42.74,4.82,-46.85,-0.67,0.12,0.49,-0.04,-0.03,1.00,idle
42.54,5.27,-47.39,-0.79,0.00,0.43,-0.04,-0.03,1.00,idle
41.58,4.82,-46.12,-0.85,-0.06,0.49,-0.04,-0.03,1.00,idle
41.80,5.20,-46.74,-0.85,-0.06,0.43,-0.04,-0.03,1.00,idle
42.44,5.36,-46.95,-0.61,-0.06,0.49,-0.04,-0.03,1.00,idle
42.16,5.13,-46.28,-0.61,0.06,0.55,-0.04,-0.03,1.00,idle
42.20,5.31,-45.59,-0.73,0.00,0.49,-0.04,-0.03,1.00,idle
42.36,4.42,-47.27,-0.67,0.06,0.43,-0.04,-0.03,1.00,idle
42.38,5.21,-47.44,-0.73,0.06,0.43,-0.04,-0.03,1.00,idle
42.24,5.30,-47.34,-0.67,0.06,0.37,-0.04,-0.03,1.00,idle
42.58,4.77,-47.07,-0.79,-0.06,0.37,-0.04,-0.03,1.00,idle
42.32,4.46,-47.47,-0.55,0.06,0.37,-0.04,-0.03,1.00,idle
42.57,4.72,-47.31,-0.61,0.06,0.49,-0.04,-0.03,1.00,idle
41.92,4.82,-46.79,-0.85,0.06,0.37,-0.04,-0.03,1.00,idle
42.65,4.70,-47.14,-0.79,0.06,0.49,-0.04,-0.03,1.00,idle
42.42,4.61,-47.39,-0.67,0.00,0.31,-0.04,-0.03,1.00,idle
42.11,4.53,-46.81,-0.61,-0.06,0.49,-0.04,-0.03,1.00,idle
41.88,4.80,-47.51,-0.67,-0.06,0.31,-0.04,-0.03,1.00,idle
41.97,4.38,-48.06,-0.73,-0.06,0.31,-0.04,-0.03,1.00,idle
41.70,4.70,-47.13,-0.67,0.06,0.37,-0.04,-0.03,1.00,idle
42.87,4.55,-46.69,-0.67,-0.06,0.49,-0.04,-0.03,1.00,idle
41.98,4.33,-47.51,-0.73,0.00,0.55,-0.04,-0.03,1.00,idle
42.05,4.88,-47.67,-0.85,-0.06,0.55,-0.04,-0.03,1.00,idle
41.80,4.86,-46.28,-0.55,-0.12,0.49,-0.04,-0.03,1.00,idle
42.42,4.16,-47.69,-0.61,0.06,0.49,-0.04,-0.03,1.00,idle
42.31,4.61,-46.81,-0.67,0.00,0.31,-0.04,-0.03,1.00,idle
42.65,4.48,-47.23,-0.61,0.06,0.37,-0.04,-0.03,1.00,idle
42.48,4.86,-46.73,-0.73,0.06,0.49,-0.04,-0.03,1.00,idle
41.75,4.81,-47.33,-0.98,0.06,0.55,-0.04,-0.03,1.00,idle
42.41,4.69,-47.19,-0.67,0.06,0.49,-0.04,-0.03,1.00,idle
42.14,5.04,-46.83,-0.85,-0.06,0.49,-0.04,-0.03,1.00,idle
42.05,5.31,-47.51,-0.85,-0.18,0.49,-0.04,-0.03,1.00,idle
42.16,5.09,-47.20,-0.61,-0.06,0.31,-0.04,-0.03,1.00,idle
41.88,4.85,-47.12,-0.61,0.06,0.49,-0.04,-0.03,1.00,idle
42.53,5.11,-47.30,-0.85,-0.06,0.37,-0.04,-0.03,1.00,idle
42.32,4.76,-47.86,-0.79,0.00,0.37,-0.04,-0.03,1.00,idle
42.02,4.00,-46.59,-0.79,-0.12,0.55,-0.04,-0.03,1.00,idle
42.35,5.43,-46.81,-0.73,-0.12,0.43,-0.04,-0.03,1.00,idle
42.36,5.27,-47.79,-0.61,-0.06,0.43,-0.03,-0.03,1.00,idle
42.24,4.91,-46.68,-0.85,0.12,0.37,-0.04,-0.03,1.00,idle
42.13,4.94,-47.66,-0.79,0.00,0.61,-0.04,-0.03,1.00,idle
42.38,4.96,-47.92,-0.92,0.00,0.49,-0.04,-0.03,1.00,idle
42.24,4.59,-47.80,-0.67,0.06,0.55,-0.04,-0.03,1.00,idle
42.41,4.91,-47.17,-0.85,0.18,0.37,-0.04,-0.03,1.00,idle
42.75,5.10,-47.24,-0.61,-0.18,0.43,-0.04,-0.03,1.00,idle
42.13,4.76,-47.40,-0.73,-0.06,0.31,-0.04,-0.03,1.00,idle
42.64,4.85,-47.08,-0.61,0.12,0.37,-0.04,-0.03,1.00,idle
42.04,4.80,-47.67,-0.79,0.06,0.49,-0.04,-0.03,1.00,idle
41.82,4.94,-47.84,-0.49,0.00,0.49,-0.04,-0.03,1.00,idle
41.83,4.39,-48.08,-0.67,0.00,0.55,-0.04,-0.03,1.00,idle
41.98,4.72,-47.00,-0.73,0.00,0.31,-0.04,-0.03,1.00,idle
42.44,4.86,-46.63,-0.85,-0.12,0.49,-0.04,-0.03,1.00,idle
42.43,5.07,-46.77,-0.79,0.06,0.37,-0.04,-0.03,1.00,idle
42.55,4.86,-46.53,-0.55,-0.06,0.37,-0.04,-0.03,1.00,idle
42.50,5.07,-47.46,-0.79,0.00,0.43,-0.04,-0.03,1.00,idle
42.44,4.93,-48.01,-0.73,-0.06,0.37,-0.04,-0.03,1.00,idle
42.43,4.99,-47.58,-0.85,0.00,0.43,-0.04,-0.03,1.00,idle
42.07,5.31,-48.05,-0.79,0.00,0.43,-0.04,-0.03,1.00,idle
42.64,5.11,-46.64,-0.79,0.06,0.49,-0.04,-0.03,1.00,idle
41.97,4.88,-47.46,-0.73,0.00,0.31,-0.04,-0.03,1.00,idle
41.48,4.74,-46.40,-0.61,0.12,0.55,-0.04,-0.03,1.00,idle
42.14,4.70,-47.50,-0.55,0.06,0.43,-0.04,-0.03,1.00,idle
42.60,4.54,-47.57,-0.67,0.06,0.49,-0.04,-0.03,1.00,idle
41.66,4.70,-46.23,-0.67,0.12,0.61,-0.04,-0.03,1.00,idle
42.66,4.82,-47.31,-0.79,0.06,0.43,-0.04,-0.03,1.00,idle
42.09,4.42,-46.96,-0.61,-0.12,0.37,-0.04,-0.03,1.00,idle
42.13,5.09,-48.24,-0.61,0.00,0.37,-0.04,-0.03,1.00,idle
42.09,5.38,-48.66,-0.79,-0.06,0.37,-0.04,-0.03,1.00,idle
42.32,5.05,-47.41,-0.61,-0.06,0.49,-0.04,-0.03,1.00,idle
42.04,4.64,-47.79,-0.79,0.00,0.55,-0.04,-0.03,1.00,idle
42.71,4.79,-47.00,-0.67,0.00,0.37,-0.04,-0.03,1.00,idle
42.40,4.87,-46.45,-0.67,0.00,0.49,-0.04,-0.03,1.00,idle
42.29,4.76,-47.51,-0.73,0.06,0.43,-0.04,-0.03,1.00,idle
42.13,4.77,-47.14,-0.55,0.00,0.24,-0.04,-0.03,1.00,idle
42.55,4.61,-47.96,-0.73,-0.12,0.43,-0.04,-0.03,1.00,idle
41.78,5.29,-47.17,-0.79,0.06,0.55,-0.04,-0.03,1.00,idle
42.20,5.22,-47.85,-0.67,0.00,0.49,-0.04,-0.03,1.00,idle
42.15,4.42,-48.03,-0.67,0.00,0.43,-0.04,-0.03,1.00,idle
42.32,4.90,-47.00,-0.79,0.00,0.43,-0.04,-0.03,1.00,idle
42.52,4.97,-47.91,-0.67,-0.06,0.49,-0.04,-0.03,1.00,idle
42.24,4.87,-47.69,-0.67,-0.06,0.49,-0.04,-0.03,1.00,idle
42.60,4.63,-47.16,-0.55,0.12,0.43,-0.04,-0.03,1.00,idle
42.97,5.00,-46.44,-0.85,0.06,0.49,-0.04,-0.03,1.00,idle
42.69,4.57,-47.89,-0.67,0.00,0.37,-0.04,-0.03,1.00,idle
42.42,4.86,-47.64,-0.55,0.00,0.49,-0.04,-0.03,1.00,idle
42.81,5.31,-46.89,-0.73,-0.06,0.37,-0.04,-0.03,1.00,idle
42.53,5.04,-45.34,-0.98,0.00,0.43,-0.04,-0.03,1.00,idle
42.54,4.36,-46.48,-0.79,0.06,0.24,-0.04,-0.03,1.00,idle
42.55,4.83,-47.38,-0.92,0.00,0.37,-0.04,-0.03,1.00,idle
42.47,4.46,-46.13,-0.73,-0.12,0.55,-0.04,-0.03,1.00,idle
42.63,4.69,-47.40,-0.73,-0.06,0.49,-0.04,-0.03,1.00,idle
42.40,3.98,-47.55,-0.79,-0.12,0.37,-0.04,-0.03,1.00,idle
42.87,4.88,-47.33,-0.92,-0.12,0.49,-0.04,-0.03,1.00,idle
41.88,4.52,-47.45,-0.61,-0.06,0.43,-0.04,-0.03,1.00,idle
42.50,4.70,-46.66,-0.79,-0.12,0.31,-0.04,-0.03,1.00,idle
42.10,4.44,-47.47,-0.73,0.00,0.37,-0.04,-0.03,1.00,idle
42.29,4.77,-47.17,-0.67,0.06,0.31,-0.04,-0.03,1.00,idle
42.19,5.00,-46.69,-0.85,0.06,0.55,-0.04,-0.03,1.00,idle
42.05,4.49,-46.50,-0.85,-0.06,0.49,-0.04,-0.03,1.00,idle
42.08,5.16,-47.00,-0.85,-0.06,0.67,-0.04,-0.03,1.00,idle
42.44,5.00,-48.24,-0.79,0.06,0.31,-0.04,-0.03,1.00,idle
42.19,4.79,-47.33,-0.67,-0.12,0.49,-0.04,-0.03,1.00,idle
42.36,4.74,-47.18,-0.85,-0.06,0.55,-0.04,-0.03,1.00,idle
41.97,4.24,-47.61,-0.85,-0.06,0.61,-0.04,-0.03,1.00,idle
42.57,4.69,-46.48,-0.61,-0.06,0.37,-0.04,-0.04,1.00,idle
41.96,4.94,-46.63,-0.73,0.06,0.61,-0.04,-0.03,1.00,idle
42.00,4.27,-46.97,-0.85,-0.06,0.49,-0.04,-0.03,1.00,idle
42.54,4.94,-46.95,-0.67,0.06,0.37,-0.04,-0.03,1.00,idle
42.26,4.74,-47.35,-0.73,0.06,0.37,-0.04,-0.03,1.00,idle
42.29,4.85,-47.34,-0.92,0.06,0.43,-0.04,-0.03,1.00,idle
42.38,4.59,-47.60,-0.67,0.00,0.37,-0.04,-0.03,1.00,idle
42.30,4.70,-45.78,-0.73,0.00,0.49,-0.04,-0.03,1.00,idle
42.22,4.47,-47.07,-0.73,-0.06,0.49,-0.04,-0.03,1.00,idle
41.87,4.74,-47.12,-0.67,0.06,0.37,-0.04,-0.03,1.00,idle
42.26,5.36,-48.22,-0.85,0.00,0.31,-0.04,-0.03,1.00,idle
42.40,4.99,-46.34,-0.73,0.00,0.43,-0.04,-0.03,1.00,idle
42.22,5.07,-46.70,-0.79,0.00,0.43,-0.04,-0.03,1.00,idle
42.61,4.57,-47.46,-0.67,0.00,0.49,-0.04,-0.03,1.00,idle
42.59,5.20,-46.48,-0.79,0.00,0.49,-0.04,-0.03,1.00,idle
42.54,5.00,-46.29,-0.85,-0.12,0.55,-0.04,-0.03,1.00,idle
